,accuracy,average_precision,f1,ppv,tpr,tnr,roc_auc
0,0.851851851851852,0.934785838513188,0.833333333333333,0.952380952380952,0.740740740740741,0.962962962962963,0.916323731138546
1,0.666666666666667,0.875882186214766,0.526315789473684,0.909090909090909,0.37037037037037,0.962962962962963,0.88477366255144
2,0.62962962962963,0.926158255826091,0.411764705882353,1,0.259259259259259,1,0.917695473251029
3,0.611111111111111,0.77271591308005,0.432432432432432,0.8,0.296296296296296,0.925925925925926,0.860082304526749
4,0.666666666666667,0.900747598152146,0.5,1,0.333333333333333,1,0.908093278463649
5,0.703703703703704,0.917205528445078,0.6,0.923076923076923,0.444444444444444,0.962962962962963,0.930041152263374
6,0.611111111111111,0.859815431621598,0.4,0.875,0.259259259259259,0.962962962962963,0.906721536351166
7,0.634615384615385,0.852306175532694,0.457142857142857,0.888888888888889,0.307692307692308,0.961538461538462,0.860207100591716
8,0.711538461538462,0.888442980029491,0.615384615384616,0.923076923076923,0.461538461538462,0.961538461538462,0.890532544378698
9,0.788461538461538,0.857838026756492,0.731707317073171,1,0.576923076923077,1,0.800295857988166
10,0.666666666666667,0.872432243587282,0.526315789473684,0.909090909090909,0.37037037037037,0.962962962962963,0.883401920438957
11,0.685185185185185,0.851070466624317,0.540540540540541,1,0.37037037037037,1,0.825788751714678
12,0.648148148148148,0.91569966915572,0.486486486486487,0.9,0.333333333333333,0.962962962962963,0.93278463648834
13,0.759259259259259,0.946475467432792,0.682926829268293,1,0.518518518518518,1,0.945130315500686
14,0.740740740740741,0.887866542398706,0.666666666666667,0.933333333333333,0.518518518518518,0.962962962962963,0.866255144032922
15,0.62962962962963,0.950642459445251,0.411764705882353,1,0.259259259259259,1,0.943758573388203
16,0.796296296296296,0.874309949655228,0.755555555555556,0.944444444444444,0.62962962962963,0.962962962962963,0.871056241426612
17,0.673076923076923,0.798544130058921,0.666666666666667,0.68,0.653846153846154,0.692307692307692,0.812130177514793
18,0.653846153846154,0.807082441817447,0.526315789473684,0.833333333333333,0.384615384615385,0.923076923076923,0.86094674556213
19,0.596153846153846,0.911211568954186,0.363636363636364,0.857142857142857,0.230769230769231,0.961538461538462,0.906804733727811
20,0.62962962962963,0.901286707172502,0.411764705882353,1,0.259259259259259,1,0.882030178326474
21,0.759259259259259,0.940754407998016,0.697674418604651,0.9375,0.555555555555556,0.962962962962963,0.945130315500686
22,0.740740740740741,0.967947827365235,0.65,1,0.481481481481482,1,0.965706447187929
23,0.685185185185185,0.79263752331097,0.622222222222222,0.777777777777778,0.518518518518518,0.851851851851852,0.802469135802469
24,0.648148148148148,0.826494954253512,0.486486486486487,0.9,0.333333333333333,0.962962962962963,0.829903978052126
25,0.796296296296296,0.912440893475725,0.8,0.785714285714286,0.814814814814815,0.777777777777778,0.91358024691358
26,0.62962962962963,0.775792897430217,0.444444444444444,0.888888888888889,0.296296296296296,0.962962962962963,0.8079561042524
27,0.673076923076923,0.963290812870055,0.514285714285714,1,0.346153846153846,1,0.955621301775148
28,0.615384615384615,0.845915369405188,0.411764705882353,0.875,0.269230769230769,0.961538461538462,0.871301775147929
29,0.673076923076923,0.919460902753056,0.514285714285714,1,0.346153846153846,1,0.911242603550296
30,0.796296296296296,0.85408018661722,0.775510204081633,0.863636363636364,0.703703703703704,0.888888888888889,0.876543209876543
31,0.703703703703704,0.865915996690758,0.636363636363636,0.823529411764706,0.518518518518518,0.888888888888889,0.89437585733882
32,0.592592592592593,0.899466500330238,0.3125,1,0.185185185185185,1,0.886145404663923
33,0.833333333333333,0.953931653160135,0.8,1,0.666666666666667,1,0.946502057613169
34,0.62962962962963,0.864642109056555,0.411764705882353,1,0.259259259259259,1,0.850480109739369
35,0.611111111111111,0.842926465386071,0.4,0.875,0.259259259259259,0.962962962962963,0.861454046639232
36,0.555555555555556,0.886422903727467,0.2,1,0.111111111111111,1,0.879286694101509
37,0.75,0.935229927447706,0.666666666666667,1,0.5,1,0.927514792899408
38,0.653846153846154,0.88889956021317,0.526315789473684,0.833333333333333,0.384615384615385,0.923076923076923,0.910502958579882
39,0.615384615384615,0.851173251963941,0.411764705882353,0.875,0.269230769230769,0.961538461538462,0.863905325443787
40,0.611111111111111,0.886307809379301,0.363636363636364,1,0.222222222222222,1,0.871056241426612
41,0.703703703703704,0.945871362879628,0.578947368421052,1,0.407407407407407,1,0.939643347050754
42,0.685185185185185,0.825222306622632,0.585365853658537,0.857142857142857,0.444444444444444,0.925925925925926,0.861454046639232
43,0.703703703703704,0.934088926560334,0.578947368421052,1,0.407407407407407,1,0.914951989026063
44,0.611111111111111,0.95733763315087,0.363636363636364,1,0.222222222222222,1,0.949245541838134
45,0.648148148148148,0.891838238577708,0.486486486486487,0.9,0.333333333333333,0.962962962962963,0.883401920438958
46,0.555555555555556,0.777159962440131,0.25,0.8,0.148148148148148,0.962962962962963,0.823045267489712
47,0.75,0.884312861669548,0.711111111111111,0.842105263157895,0.615384615384615,0.884615384615385,0.890532544378698
48,0.711538461538462,0.934951253282132,0.615384615384616,0.923076923076923,0.461538461538462,0.961538461538462,0.940828402366864
49,0.769230769230769,0.85911852088496,0.739130434782609,0.85,0.653846153846154,0.884615384615385,0.863905325443787
mean,0.681310541310541,0.883723051987529,0.542028330607104,0.91873129156705,0.406267806267806,0.956353276353276,0.888850821016063
std,0.070692696106207,0.05167824825161,0.149334745665684,0.07904879990434,0.163642003313281,0.059412134473691,0.042850529903218
